sample_id,asr_ms,assess_ms,feedback_ms,lsfc_ms,total_ms
000030012,503.72,0.03,2540.76,8.50,3053.00
000030024,427.15,0.02,947.99,7.23,1382.40
000030040,485.23,0.02,1072.31,8.30,1565.86
000030047,430.12,0.01,1067.68,7.75,1505.56
000030049,463.46,0.01,1263.19,8.01,1734.66
000030051,441.05,0.01,1383.20,8.18,1832.45
000030054,409.31,0.01,1232.95,8.67,1650.94
000030059,466.57,0.02,1086.20,7.89,1560.68
000030067,502.34,0.02,1307.73,6.40,1816.49
000030069,1178.48,0.01,1401.73,6.42,2586.63
000030079,497.45,0.02,1067.59,6.91,1571.98
000030080,453.54,0.01,1030.72,8.48,1492.75
000030097,436.55,0.01,1045.88,9.18,1491.62
000030101,474.17,0.02,1571.83,6.44,2052.45
000030116,505.38,0.02,1306.46,8.85,1820.72
000030119,511.25,0.01,1139.62,8.89,1659.78
000030145,441.57,0.02,1188.93,7.29,1637.81
000030153,401.74,0.01,1399.14,8.95,1809.84
000030154,441.80,0.01,1020.91,8.39,1471.11
000030175,392.42,0.02,1124.09,8.09,1524.62
000240010,442.64,0.02,1323.45,6.77,1772.87
000240031,520.65,0.02,1026.29,8.32,1555.28
000240060,468.89,0.02,1168.94,8.67,1646.52
000240071,533.90,0.02,1041.69,9.22,1584.84
000240073,514.81,0.02,1165.83,8.73,1689.39
000240099,511.66,0.02,948.30,8.91,1468.89
000240115,452.33,0.02,1000.67,8.86,1461.87
000240116,449.39,0.01,1123.40,8.49,1581.30
000240151,448.52,0.02,1135.50,8.05,1592.08
000240152,476.03,0.02,1404.55,8.66,1889.26
